Continent,country,social_support,freedom,corruption,generosity,gdp_per_cap,life_exp,happiness_score,ms_sugar_per_day
Africa,Lesotho,98,97,59,151,2920,56.1,12,45.5
Africa,Burundi,152,135,23,149,644,62.3,11,NA
Africa,Zimbabwe,110,96,63,141,2390,62,10,80.6
North America,Haiti,146,152,48,20,1640,65.7,9,45.8
Africa,Botswana,105,60,54,150,16800,69.8,8,85
Asia,Syria,154,153,38,69,2900,71.5,7,NA
Africa,Malawi,150,65,64,109,1180,64.2,6,22.6
Asia,Yemen,100,147,83,155,2340,68.1,5,77.9
Africa,Rwanda,144,21,2,90,2110,69.1,4,14.1
Africa,Tanzania,131,78,34,49,2980,67.7,3,28
Asia,Afghanistan,151,155,136,137,1760,64.1,2,24.5
Africa,Central African Republic,155,133,122,113,794,52.9,1,22.4
Africa,South Sudan,148,154,61,85,1860,59.7,0,NA
